id,order_id,payment_method,amount,status
1,1,credit_card,1000,success
2,2,credit_card,2000,success
3,3,coupon,100,fail
4,4,coupon,2500,success
5,5,bank_transfer,1700,success
6,6,credit_card,600,fail
7,7,credit_card,1600,success
8,8,credit_card,2300,success
9,9,gift_card,2300,success
10,9,bank_transfer,0,fail
11,10,bank_transfer,2600,success
12,11,credit_card,2700,success
13,12,credit_card,100,fail
14,13,credit_card,500,success
15,13,bank_transfer,1400,success
16,14,bank_transfer,300,fail
17,15,coupon,2200,success
18,16,credit_card,1000,success
19,17,bank_transfer,200,fail
20,18,credit_card,500,success
21,18,credit_card,800,success
22,19,gift_card,600,success
23,20,bank_transfer,1500,success
24,21,credit_card,1200,success
25,22,bank_transfer,800,fail
26,23,gift_card,2300,success
27,24,coupon,2600,success
28,25,bank_transfer,2000,success
29,25,credit_card,2200,success
30,25,coupon,1600,fail
